,distance_horizontal,distance_path,distance_vertical,distance_vertical_abs,distance_vertical_neg,distance_vertical_pos,duration,end_location_lat,end_location_lng,mode,start_location_lat,start_location_lng,isWalking,isBicycling,resid_combi_abs,resid_horiz
977,756.0,2923.0,-6.289459228515625,6.289459228515625,6.289459228515625,0.0,522.0,48.51692389999999,9.0439066,driving,48.52028079999999,9.0528069,False,False,328.5987409339799,320.693173658409
978,701.0,736.0,41.15814208984375,41.15814208984375,0.0,41.15814208984375,181.0,48.518708700000005,9.0436145,driving,48.52028079999999,9.0528069,False,False,-31.27741727816857,-5.66148844636939
979,684.0,2849.0,-0.57745361328125,0.57745361328125,0.57745361328125,0.0,450.0,48.5197906,9.043579199999998,driving,48.52028079999999,9.0528069,False,False,279.7864596808777,267.8652523576082
980,702.0,1035.0,-5.492950439453125,5.492950439453125,5.492950439453125,0.0,280.0,48.5214896,9.0434778,driving,48.52028079999999,9.0528069,False,False,100.73698361307478,93.07223268280842
981,710.0,1011.0,-5.277313232421818,5.277313232421818,5.277313232421818,0.0,263.0,48.522398200000005,9.0437331,driving,48.52028079999999,9.0528069,False,False,81.9535907621104,73.94200171623072
982,769.0,1065.0,-2.14471435546875,2.14471435546875,2.14471435546875,0.0,277.0,48.523700500000004,9.043758300000002,driving,48.52028079999999,9.0528069,False,False,84.23944148895956,72.23154833772031
983,858.0,1157.0,9.638458251953182,9.638458251953182,0.0,9.638458251953182,295.0,48.5250638,9.0436982,driving,48.52028079999999,9.0528069,False,False,73.17294992342235,66.5327288345436
984,959.0,2133.0,31.2540283203125,31.2540283203125,0.0,31.2540283203125,411.0,48.526363700000005,9.0436118,driving,48.52028079999999,9.0528069,False,False,143.959251144221,155.63856288150038
985,1060.0,2059.0,74.44223022460938,74.44223022460938,0.0,74.44223022460938,444.0,48.5276594,9.0437133,driving,48.52028079999999,9.0528069,False,False,111.6262469292667,161.74439692845715
986,1158.0,1996.0,77.8287353515625,77.8287353515625,0.0,77.8287353515625,425.0,48.528747100000004,9.0436753,driving,48.52028079999999,9.0528069,False,False,65.15772796214151,116.64906758788055
987,1283.0,3405.0,58.9793701171875,58.9793701171875,0.0,58.9793701171875,557.0,48.5302643,9.044087699999999,driving,48.52028079999999,9.0528069,False,False,183.72937430613416,215.36420873510423
988,1413.0,1914.0,65.54074096679689,65.54074096679689,0.0,65.54074096679689,349.0,48.531387,9.0435093,driving,48.52028079999999,9.0528069,False,False,-62.63813407854707,-27.25204447178305
989,1495.0,1997.0,70.556884765625,70.556884765625,0.0,70.556884765625,356.0,48.531989200000005,9.042859,driving,48.52028079999999,9.0528069,False,False,-80.65749901286847,-42.08691187920431
990,1802.0,5529.0,99.17340087890624,99.17340087890624,0.0,99.17340087890624,838.0,48.5354485,9.0442246,driving,48.52028079999999,9.0528069,False,False,298.49855578982954,358.16547477837713
991,1802.0,5529.0,99.17340087890624,99.17340087890624,0.0,99.17340087890624,838.0,48.5354485,9.0442246,driving,48.52028079999999,9.0528069,False,False,298.49855578982954,358.16547477837713
992,1938.0,5489.0,100.18331909179688,100.18331909179688,0.0,100.18331909179688,837.0,48.536612,9.0436264,driving,48.52028079999999,9.0528069,False,False,262.820127191393,320.9515483465566
993,2048.0,5274.0,99.19552612304688,99.19552612304688,0.0,99.19552612304688,808.0,48.5376858,9.0437355,driving,48.52028079999999,9.0528069,False,False,207.45446008300303,262.6608725561134
994,2163.0,5101.0,102.74755859375,102.74755859375,0.0,102.74755859375,772.0,48.5389033,9.0443455,driving,48.52028079999999,9.0528069,False,False,139.6144967376191,196.03880241155923
995,2360.0,4973.0,101.99758911132818,101.99758911132818,0.0,101.99758911132818,747.0,48.540612100000004,9.0436243,driving,48.52028079999999,9.0528069,False,False,66.44556014976547,118.58186485958379
996,2495.0,4857.0,112.19735717773438,112.19735717773438,0.0,112.19735717773438,706.0,48.541790999999996,9.043190800000001,driving,48.52028079999999,9.0528069,False,False,-17.555544557409007,41.63421729858544
997,2629.0,4256.0,124.3116455078125,124.3116455078125,0.0,124.3116455078125,592.0,48.543135299999996,9.0436805,driving,48.52028079999999,9.0528069,False,False,-176.09412738370963,-108.04715139159077
998,2762.0,4987.0,143.26242065429688,143.26242065429688,0.0,143.26242065429688,683.0,48.544374299999994,9.043731,driving,48.52028079999999,9.0528069,False,False,-135.76056697056185,-52.46224121094474
999,2884.0,5132.0,155.00665283203125,155.00665283203125,0.0,155.00665283203125,717.0,48.5453739,9.0429187,driving,48.52028079999999,9.0528069,False,False,-142.9772697574316,-50.94826345125432
1000,2891.0,5822.0,-4.156890869140625,4.156890869140625,4.156890869140625,0.0,702.0,48.49544059999999,9.0412677,driving,48.52028079999999,9.0528069,False,False,-19.02654371981191,-67.81221554700983
1001,2768.0,5338.0,-7.86376953125,7.86376953125,7.86376953125,0.0,636.0,48.4965261,9.0416262,driving,48.52028079999999,9.0528069,False,False,-57.97196320452815,-101.059914435878
1002,2739.0,5388.0,-5.95513916015625,5.95513916015625,5.95513916015625,0.0,639.0,48.496666600000005,9.0422694,driving,48.52028079999999,9.0528069,False,False,-45.99809269186869,-90.33782718203383
1003,2640.0,4916.0,-3.793609619140625,3.793609619140625,3.793609619140625,0.0,697.0,48.497323200000004,9.0437293,driving,48.52028079999999,9.0528069,False,False,38.57603890594896,-5.9762189706350455
1004,2191.0,4233.0,-13.398284912109432,13.398284912109432,13.398284912109432,0.0,713.0,48.5014783,9.0439581,driving,48.52028079999999,9.0528069,False,False,156.99864037898953,129.5829940285373
1005,2167.0,4500.0,-13.78094482421875,13.78094482421875,13.78094482421875,0.0,800.0,48.502329100000004,9.0413956,driving,48.52028079999999,9.0528069,False,False,249.59526827035074,222.97368692827035
1006,2145.0,4463.0,-13.938568115234432,13.938568115234432,13.938568115234432,0.0,788.0,48.502412,9.0418701,driving,48.52028079999999,9.0528069,False,False,242.9056465937863,216.831822086359
1007,1939.0,5199.0,-14.060943603515625,14.060943603515625,14.060943603515625,0.0,1003.0,48.504923100000006,9.0403706,driving,48.52028079999999,9.0528069,False,False,508.8924624497966,486.68526947573434
1008,1721.0,2920.0,-12.988311767578125,12.988311767578125,12.988311767578125,0.0,510.0,48.50653270000001,9.0421207,driving,48.52028079999999,9.0528069,False,False,70.97053339056191,51.73406331497614
1009,1685.0,2836.0,-13.67388916015625,13.67388916015625,13.67388916015625,0.0,494.0,48.5070334,9.0417251,driving,48.52028079999999,9.0528069,False,False,63.261405241911575,45.32010266457576
1010,1583.0,5379.0,-12.485382080078125,12.485382080078125,12.485382080078125,0.0,592.0,48.508249,9.0413539,driving,48.52028079999999,9.0528069,False,False,187.67225446740974,170.48054748844118
1011,1459.0,2699.0,-13.27001953125,13.27001953125,13.27001953125,0.0,454.0,48.5094277,9.0417133,driving,48.52028079999999,9.0528069,False,False,79.70027060685186,65.49912747039525
1012,1314.0,2573.0,-13.955108642578125,13.955108642578125,13.955108642578125,0.0,464.0,48.5109693,9.041851600000001,driving,48.52028079999999,9.0528069,False,False,125.03044845811206,114.10956373961574
1013,1252.0,2580.0,-12.98028564453125,12.98028564453125,12.98028564453125,0.0,485.0,48.512058200000006,9.041235,driving,48.52028079999999,9.0528069,False,False,162.31949529551412,151.61885373059278
